start	end	text
0	15040	Hier bei dem CEO Workflow sieht es jetzt für mich so aus als wäre das ein strikter durchgängiger
15040	16040	Workflow.
16040	23160	Das ist aber nicht das, was ich möchte, ich möchte, dass du intelligent die Aufgaben
23160	27520	an die jeweiligen Agenten verteilst.
27520	33040	Also wenn es irgendwie um Security geht, dann halt eine Security-Offness und wenn es um
33040	40600	Datamanagement geht und da geht es nicht nur um Memory und Historie, sondern auch zum
40600	50040	Beispiel haben wir irgendwelche alten verreisten Dateien auf dem System, wo da muss die Database
50040	55080	angeglichen werden, dass Memory neu indexiert werden, so Zeug.
55080	68200	Also ich möchte eigentlich, dass es eher so ein rotulares System ist, wo du eine Anfrage
68200	74280	bekommst und dann die Anfrage optimal aufteilst auf die jeweiligen Agenten, weil jetzt kommen
74280	76800	wir noch weitere Agenten dazu, dann später.
76800	80960	Falls du mir folgen kannst, dann falls du verstehst, was ich meine.
