start	end	text
0	7000	Zu eins, genau. Sollt sich unser komplettes System kümmern, erst verwalten,
7000	14000	erweitern, verbessern, optimieren. Die Dokumentation von unserem ganzen System,
14000	26000	da gehören die Krons, Memories, Skills, Agenten, Sicherheit, da gehört alles dazu.
27000	31000	Also alle drei Punkte, plus das, was ich aufgezählt habe.
31000	40000	Und zu Nummer zwei, genau, Architektur und Änderungen, auch Budgetentscheidungen,
40000	47000	ausschließlich kostenlose Budgetentscheidungen. Und das Löschen von Daten oder Code,
47000	53000	nur nach meinem Einverständnis.
54000	63000	Bei Unsicherheiten im Zweifel lieber Stotten und trotzdem ordentlich alles
63000	68000	Dokumentieren, nicht riskieren.
71000	76000	Kommunikation bei autonomen Handeln proaktiv berichterstatten.
77000	83000	Genau, wenn etwas schief geht oder etwas cooles gefunden wird, dann auch bitte.
83000	90000	Genauso bei Warnung, Fehlern oder sonstigen Problemen.
91000	100000	Eine Mischung, also zu fünf, eine Mischung aus beiden.
100000	105000	Schneller, eine Mischung aus Schnelligkeit und Sicherheit.
105000	110000	Aber tendenziell lieber sicher wie schnell.
