start	end	text
0	14880	Hier bei dem CEO-Workflow sieht es jetzt für mich so aus, als wäre das ein strikter durchgegenen
14880	15880	Workflow.
15880	23400	Das ist aber nicht das, was ich möchte, ich möchte, dass du intelligent die Aufgaben an
23400	30200	die jeweiligen Agenten verteilt, also wenn es irgendwie um Security geht, dann halt eine
30200	31720	Security aufnimmt.
31720	39680	Und wenn es um Data-Management geht und da geht es nicht nur um Memory und Historie, sondern
39680	49120	auch zum Beispiel, haben wir irgendwelche alten verweistende Teilen auf dem System oder muss
49120	55080	die Database angeglichen werden, Memory neu indexiert werden, so zurück.
55080	66360	Genau, also ich möchte eigentlich, dass es eher so ein sortularises System ist, wo wir, wo
66360	73100	du eine Anfrage bekommst und dann die Anfrage optimal aufteil ist, auf die jeweiligen
73100	78700	Agenten, weil jetzt komme ihr noch weiter bei Agenten dazu, dann später, falls du mir
78700	80940	folgen kannst, dann voll zu verstehst, was ich meine.
